"Warszawa","Krakow","Lodz","Wroclaw","Poznan","Gdansk","Szczecin","Bydgoszcz","Lublin","Bialystok","Katowice","Gdynia","Czestochowa","Radom","Torun","Rzeszow","Sosnowiec","Kielce","Gliwice","Olsztyn","Zabrze","Bielsko-Biala","Bytom","Zielona Gora","Rybnik","Ruda Slaska","Opole","Tychy","Gorzow Wielkopolski","Elblag","Dabrowa Gornicza","Plock","Walbrzych","Wloclawek","Tarnow","Chorzow","Koszalin","Kalisz","Legnica","Grudziadz","Jaworzno","Slupsk","Jastrzebie-Zdroj","Nowy Sacz","Jelenia Gora","Siedlce","Myslowice","Konin","Piotrkow Trybunalski","Suwalki","Siemianowice Slaskie","Leszno","Zory","Zamosc","Lomza","Chelm","Przemysl","Biala Podlaska","Piekary Slaskie","Ostroleka","Swietochlowice","Skierniewice","Tarnobrzeg","Krosno","Swinoujscie","Sopot"
320.0402,79.6664,205.2569,194.2366,378.6318,524.0872,576.2891,407.1455,407.2513,506.8061,0,542.9743,74.1655,242.0917,362.3689,248.1069,11.1011,161.8805,29.8299,473.5444,20.7024,60.0941,20.8544,364.0032,59.1912,15.306,112.989,23.1556,468.8194,571.8461,18.0621,304.7097,251.451,310.9139,162.0647,6.2506,619.6733,232.0086,254.1055,415.4483,26.619,640.7986,68.3982,190.1946,288.3163,409.6908,12.3823,323.7864,160.0356,601.3452,7.8897,298.7215,51.3741,398.755,457.8153,490.1923,327.1017,478.8301,17.8362,433.0549,10.5645,259.9089,254.2609,249.9776,668.7598,541.8186
441.1958,618.0471,360.52,505.1879,331.5429,18.994,355.0863,188.6626,607.2824,461.5413,542.9743,0,466.4566,491.8122,191.0186,785.9038,541.1638,493.3806,559.4921,198.7587,544.2883,599.5667,533.3632,477.1468,591.3454,542.1242,560.2139,562.6282,487.3776,92.6107,539.0818,292.4149,579.631,244.0452,699.8616,537.7101,184.9406,359.6737,507.5127,141.7423,559.4847,116.8393,600.5524,727.9915,570.1593,528.4817,552.6344,300.0998,392.6012,409.879,538.3778,402.7967,583.5283,698.9744,356.9138,682.6194,864.8986,597.621,529.6686,333.1947,538.8223,378.6998,599.5537,787.7745,349.4899,9.0413
244.0808,149.2383,129.2975,247.0458,337.9367,448.1278,600.3979,331.1861,410.1675,430.8467,74.1655,466.4566,0,200.8797,286.0994,316.4406,71.7007,134.8306,90.0289,397.2749,74.8251,130.1035,63.9001,416.7443,121.8822,72.6611,94.1749,93.165,492.4041,495.5766,69.6186,228.4402,304.1921,234.6445,230.3985,68.247,543.4038,222.2173,306.8466,339.1789,90.0215,564.5292,131.0892,258.5284,341.0574,333.4213,83.1713,247.517,83.7662,525.0758,68.9146,285.2409,114.0651,467.0887,381.5459,487.559,395.4354,402.5606,60.2054,356.7855,69.3591,183.6394,213.3142,318.3113,692.3445,465.5492
104.7998,196.1457,181.7026,408.4252,363.1521,473.4834,625.6133,356.5417,113.0523,299.3661,242.0917,491.8122,200.8797,0,312.1939,271.6072,232.5613,86.0904,269.7316,315.1982,260.9321,293.9736,266.7213,507.8923,307.3473,263.462,293.572,257.0351,518.123,385.0497,226.8511,182.6091,480.4579,260.7389,187.9122,246.4803,569.4983,302.0706,483.1124,365.2733,248.6664,590.6236,316.5543,266.9469,517.3232,185.9873,242.6932,273.2359,111.697,392.4097,243.0074,433.5422,299.5302,205.4531,248.8798,189.0981,345.8488,187.1173,263.0266,224.1195,250.7942,119.3054,124.5039,329.6915,718.0634,491.6436
260.5903,437.4417,179.9146,359.9943,186.3493,172.6898,315.1541,48.4938,426.677,447.3563,362.3689,191.0186,286.0994,312.1939,0,605.9553,361.2153,313.4321,379.5436,170.0933,364.3398,419.6182,353.4148,331.6368,411.3969,362.1757,380.2654,382.6797,341.8675,220.6454,359.1333,112.4664,434.1209,64.0968,519.9131,357.7617,235.7028,179.7252,362.0027,64.2477,379.5362,289.598,420.6039,548.043,424.6493,348.5333,372.6859,105.0281,212.6527,372.1752,358.4293,257.2867,403.5798,519.0259,396.6578,502.6709,684.9501,417.6726,349.7201,240.2597,358.8738,198.7513,419.6053,607.826,404.4661,190.618
329.8943,169.4304,448.7447,439.2165,623.6118,767.575,821.269,650.6333,169.5287,506.9952,248.1069,785.9038,316.4406,271.6072,605.9553,0,244.2305,156.8307,274.2922,541.4585,268.3748,290.4995,267.7096,608.4655,303.6535,259.7682,357.4512,253.561,713.2817,611.3099,252.4153,456.8945,495.9133,554.8591,87.3753,253.1058,863.6185,475.9537,498.5677,659.3935,226.6584,884.7438,312.8605,157.0091,532.7785,289.7401,239.219,567.7316,403.9808,599.5017,254.1482,543.1838,295.8364,162.1357,455.9718,253.5731,92.0555,300.5164,264.6915,431.2114,257.4197,412.3062,77.5672,57.9658,913.2221,785.7638
318.788,75.3582,204.0047,206.3175,390.7128,522.835,588.37,405.8933,402.9431,505.5539,11.1011,541.1638,71.7007,232.5613,361.2153,244.2305,0,152.6803,38.7854,472.1005,29.9859,64.9544,29.5082,376.3137,71.5017,27.6165,125.2995,28.0159,481.1299,570.4022,8.8619,303.2658,263.7615,309.47,158.1283,15.5341,618.2294,230.5647,266.416,414.0044,17.2715,639.3548,80.7087,186.2581,300.6268,408.2469,10.2942,322.3425,158.5917,599.9013,12.0612,311.032,63.6846,394.8185,456.3714,486.2558,323.1652,477.3862,26.4901,431.6111,19.8481,258.465,250.3244,246.0411,681.0703,540.3748
181.527,115.9345,156.2214,357.0969,364.8606,475.0517,627.3218,358.1101,197.2513,376.0933,161.8805,493.3806,134.8306,86.0904,313.4321,156.8307,152.6803,0,189.2641,392.7019,180.4646,213.5062,164.3211,510.0186,226.8798,182.9946,280.6776,176.5677,520.2493,462.5534,146.3837,260.1127,419.1396,262.4897,106.6644,166.0128,571.2491,250.0625,421.7941,367.0241,168.199,592.3744,236.0868,172.5948,456.0049,263.491,162.2257,275.3622,101.5166,469.9134,162.5399,435.6685,219.0627,226.3459,326.3835,274.5234,236.4434,272.5427,160.6264,301.6231,170.3268,196.8091,105.8792,188.5848,720.1897,493.3944
337.1163,105.4199,222.333,164.2357,348.631,541.1633,546.2882,424.2216,433.0047,523.8822,29.8299,559.4921,90.0289,269.7316,379.5436,274.2922,38.7854,189.2641,0,488.5408,12.8807,85.5969,31.6994,333.6314,26.2367,18.2021,82.6172,48.6584,438.4476,586.8425,48.2883,319.7061,221.0792,325.9104,188.1842,25.8947,587.0981,290.7967,223.7337,430.4448,52.7385,655.7951,53.1535,216.3141,257.9445,424.6872,38.5018,338.7828,175.0321,616.3417,42.4826,268.3497,36.1293,424.8744,472.8118,516.3117,353.2211,493.8265,33.7733,448.0514,21.4206,274.9053,280.3803,276.097,638.388,556.8151
212.8652,501.5904,282.2258,508.9483,354.3747,171.7613,535.8705,211.4943,383.7502,225.8362,473.5444,198.7587,397.2749,315.1982,170.0933,541.4585,472.1005,392.7019,488.5408,0,473.8571,529.1355,462.9321,499.9151,520.9143,471.6931,489.7828,492.1971,510.1459,111.1968,468.6506,178.4535,580.7991,190.2259,494.5469,467.279,366.3547,343.0811,583.4535,135.3146,489.0536,298.2534,530.1213,657.5604,617.6643,305.8885,482.2033,303.9474,322.1701,194.996,467.9467,425.565,513.0972,473.4175,146.819,457.0624,613.8132,375.0278,459.2374,128.5725,468.3912,232.5263,441.5532,597.6558,530.904,181.6217
